Name,Street,City,State,Zipcode,Category,Adver tiser,Total Quantity to Deliver,Notes,Driver,crate,Restock,Latitude,Longitude,Contact Name,Contact Phone,first delivery,Restock Quantity (6 x),Delivered to Date,Number of Deliveries,Hrs per Deliv,Stop #,Color,Advertiser Color
SUDA,3910 Portola Dr,Capitola,CA,,dining,D,60,Delivery done by Tyler Fox,Mick,W,n,36.963406,-121.96636,Mike Pitt,,,,,,,,silver,silver
SUP Stand Up Paddleboard,2216 E Cliff Dr,Santa Cruz,CA,,Surf,,30,,Mick,W,n,36.963195,-122,Sonia,464-7467,,,,,,,silver,silver
Surf City,9105 Soquel Dr,Aptos,CA,95003,coffee,,30,,Bill,,n,36.975785,-121.886392,,,,,,,,,silver,silver
Surf City Coffee,6006 La Madrona Dr Suite A,Scotts Valley,CA,95073,coffee,,30,,Mick,,n,37.036696,-122.022612,,,,,,,,,,
Surf City Sandwiches,,"Soquel
",CA,"
",Cafe,D,210,,Bill,W,y,36.75,-121.92,,,,,,,,,,
"Surf City, Moss Landing",7990 California 1,Moss Landing,CA,,coffee,,90,,Bill,W,y,36.798487,-121.783497,,,,,,,,,silver,silver
Surfrider Cafe,429 Front St,Santa Cruz,CA,,Cafe,,30,,Mick,,n,36.971303,-122.024371,Sarah/Alex,,,,,,,,silver,silver
Sushi Confidental,247 E Campbell Ave,Campbell,CA,,Restaurant,D,60,,Kelly,,y,37.287133,-121.945431,,,,,,,,,,
SV Market,14 Victor Square,Scotts Valley,CA,,Food,,30,,Mick,W,y,37.060178,-122.006447,Ron,,,,,,,,silver,silver
The Bagelry,4763 Soquel Dr,Soquel,CA,95073,dining,,30,,Bill,,n,36.984924,-121.956164,,,,,,,,,silver,silver
The Buttery,702 Soquel Ave,Santa Cruz,CA,,Bakery,,90,owner Janet,Mick,,y,36.976864,-122.015946,Janet,,,,,,,14,silver,silver
The Farm Bakery,6790 Soquel Dr,Aptos,CA,95003,Bakery,,30,,Bill,,n,36.987362,-121.921279,,,,,,,,,,
The Garrett ,1777 S Bascom Ave,Campbell,CA,,Restaurant,,90,,,,y,37.291259,-121.932575,,,,,,,,,,
The Garrett Station ,14101 Winchester Blvd,Los Gatos,CA,95030,Restaurant,,80,,,,,37.263072,-121.96131,,,,,,,,,,
The Olive Bar,232 E Campbell Ave,Campbell,CA,,Retail,,30,,,,y,37.287028,-121.945688,,,,,,,,,,
The Picnic Basket,125 Beach St,Santa Cruz,CA,95060,Food,,60,,CPL,W,y,36.963111,-122.023031,Zach,,30,,,,,,,
The Road House,1 Davenport Ave,Davenport,CA,,dining,,30,Place outside in rack,CPL,W,n,37.010847,-122.193911,Don,426-8801,30,,,,0.5,,silver,silver
The Socialite,368 E Campbell Ave,Campbell,CA,,Restaurant,,60,,,,,37.287028,-121.945688,,,,,,,,,,
The Spa - Los Gatos,100 S Santa Cruz Ave,Los Gatos,CA,95030,Salon,,30,,,,,37.221493,-121.984633,,,,,,,,,,
The Whole Enchilada,7990 California 1,Moss Landing,CA,,dining,,60,,Bill,,n,36.799617,-121.783424,,,,,,,,,silver,silver
Thrive,2840 Park Avenue,Soquel,CA,,Other,,30,,Bill,,n,36.986304,-121.936454,,,,,,,,,,
Thunderbird Real Estate,2601 41st Avenue,Capitola,CA,,Real Estate,,15,,Mick,,n,36.98438,-121.964994,,,,,,,,,,
Tilly's,650 El Paseo de Saratoga,San Jose,CA,95130,Retail,,0,refused,Mick,,,37.288412,-121.990805,,,,,,,,,,
Toll House,140 S Santa Cruz Ave,Los Gatos,CA,95030,lodging,,60,,,W,,37.220027,-121.985619,,,,,,,,,silver,silver
Toyota,41st,Capitola,CA,,car,Y,60,,Mick,W,,36.672,-121.891,,,,,,,,,,
True Olive Connection,106 Lincoln St,Santa Cruz,CA,95060,Retail,,30,,mick,,,36.972711,-122.026109,,,,,,,,,,
UCSC Library,1156 High Street,Santa Cruz,CA,,Other,,30,no summer delivery,Mick,,n,36.97735,-122.055975,,,,,,,,,silver,silver
Ugly Mug,4640 Soquel Dr,Soquel,CA,,coffee,,30,,Bill,,n,36.987974,-121.95748,,,,,,,,,silver,silver
Upper Crust,2415 Mission St,Santa Cruz,CA,95060,pizza,,15,,Mick,,y,36.960789,-122.048507,,,,,,,,,,
Upper Crust,2501 Soquel Dr,Santa Cruz ,CA,95060,pizza,,30,,Mick,,y,36.988267,-121.974791,,,,,,,,,,
Vapor Cleaning,285 Water St,Santa Cruz,CA,95060,Other,,60,,Mick,W,y,36.979340,-122.022646,,,60,,,,,,,
Venus Spirits,,Santa Cruz,,,drink,,60,,Mick,,,36.668,-121.887,,,30,,,,,,,
Veritigo Downtown,Pacific,Santa Cruz,CA,,coffee,,90,,Mick,W,y,36.669,-121.888,,,,,,,,,,
Vertigo Bronson St.,,Santa Cruz,CA,,coffee,,90,,Mick,W,y,36.67,-121.889,,,,,,,,,,
Vertigo Coffe/41st,41st ,Capitola,CA,,coffee,,90,,Mick,W,y,36.671,-121.89,,,30,,,,,,,
Viva,15970 Los Gatos Blvd,Los Gatos,CA,95030,Restaurant,,60,,,,,37.236664,-121.96099,,,,,,,,,,
Viva,,Santa Cruz,CA,,dining,,60,,Mick,,y,36.673,-121.892,,,,,,,,,,
Warmth Company,140 Post Office Drive,Aptos,CA,,Retail,,60,,SCWaves,,n,36.975969,-121.901099,Naomi,,,,,,,,,
Warmth Company ,41 St.,Capitola,CA,,retail,,15,,Waves,,,36.672,-121.891,,,,,,,,,,
West End Tap & Kitchen,,Santa Cruz,CA,95060,Beer,D,30,,CPL,W,n,36.959017,-122.047318,Jeremy,,30,,,,,,silver,silver
Westcliff Inn,174 Westcliff Drive,Santa Cruz,CA,95060,lodging,,30,,Mick,,n,36.962569,-122.025499,,,,,,,,,,
Westside Coffee,849 Almar Ave,Santa Cruz,CA,95060,coffee,,60,,CPL,,y,36.96089,-122.044569,,427-1300,30,,,,,25,silver,silver
Whale City Bakery,490 Coast Rd,Davenport,CA,,Bakery,,30,,CPL,,n,37.011443,-122.195097,Chris,423-9009,30,,,,0.5,,silver,silver
Whole Enchilada,7904 California 1,Moss Landing,CA,,dining,,60,,Bill,,y,36.799747,-121.783334,,,,,,,,,,
Whole Enchilada Marketplace,California 1,Moss Landing,CA,,Market,,60,,Bill,,y,36.798703,-121.783324,,,,,,,,,,
"Whole Foods, Cap",1710 41st Ave,Capitola,CA,,Food,,90,will redeliver and check,Mick,W,y,36.97383,-121.964967,Michele,,30,30,,,,,red,silver
"Whole Foods, SC",,Santa Cruz,CA,95060,Food,,210,,Mick,W,y,36.978679,-122.014354,,,,,,,,,silver,silver
Willard Hicks,280 E Campbell Ave,Campbell,CA,,Restaurant/Bar,D,60,,,,y,37.286692,-121.944651,,,,,,,,,,
Yacht Harbor Cafe,535 7th Ave,Santa Cruz,CA,95062,dining,,90,,Mick,,y,36.96826,-121.997932,Dan,,,,,,,8,silver,silver
Zachary's,819 Pacific Ave,Santa Cruz,CA,,dining,,30,,Mick,,y,36.969805,-122.024891,Tom,,,,,,,16,silver,silver
Zelda's,203 Esplanade,Capitola,CA,95010,dining,,30,,Bill,,y,36.971913,-121.952054,Jill Ealy,,,,,,,,silver,silver
Zizzo's Coffee,3555 Clares St,Capitola,CA,,coffee,D,129,might want crate after remodel,Mick,W,n,36.975674,-121.968047,Aaron,,30,,,,,,silver,silver
Zoccolis,1534 Pacific Ave,Santa Cruz,CA,,dining,D,15,,Mick,W,n,36.975834,-122.026626,Patty Zoccoli,,,,,,,,silver,silver
,,,,,,,,,,,,36.669,-121.888,,,,,,,,,,
